Code,Name,Native,Region,Site,Duration,Lifeform
Unkforbwavy,"Unknown forb; A distinctly different plant with pale, hairy, wavy leaves. Different than other species, photo to be submitted to botanist.",Unknown,Chihuahuan,NA,NA,NA
Unkforbwavy,Unknown forb,Unknown,Chihuahuan,NA,NA,NA
Unkfuzzyaster,Unknown aster,Unknown,Chihuahuan,NA,NA,NA
Unkgrass,Unknown grass; A small unknown grass that has no disstinguishing characteristics and cannot be parsed out from other Unkgrass species.,Unknown,Chihuahuan,NA,NA,NA
Unkgrass,Unknown grass,Unknown,Chihuahuan,NA,NA,NA
Unkgrass1,Unknown grass,Unknown,Chihuahuan,NA,NA,NA
Unkgrass2,Unknown grass,Unknown,Chihuahuan,NA,NA,NA
Unkgrass4,Unknown grass,Unknown,Chihuahuan,NA,NA,NA
Unkhairygrass,Unknown grass,Unknown,Chihuahuan,NA,NA,NA
Unkperennial grass,Unknown grass,Unknown,Chihuahuan,NA,NA,NA
Unksalsola,Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks.,Unknown,Chihuahuan,NA,NA,NA
Unksalsola,Unknown forb,Unknown,Chihuahuan,NA,NA,NA
Unksporo,Unknown grass; Sporobolus and Eragrostis,Unknown,Chihuahuan,NA,NA,NA
Unksporob,Unknown grass; Unknown (Seeed plants) that look like they are in the Sporobolus genus (with distinct first cotyledons). So small cannot be sure but only way to distinguish between other grasses at this tiny stage.,Unknown,Chihuahuan,NA,NA,NA
UNSFF,"Unknown shrubby fuzzy forb, munched down",Unknown,Sonoran SE,NA,NA,NA
UNSH,Unknown shrub,Unknown,Colorado Plateau,NA,NA,NA
ATCA,"Unknown ATCA (but not Atriplex, a grass?)",Unknown,Chihuahuan,Mesquite,Unknown,Grass
ERIGSPP,Unknown ERIG (?),Unknown,Utah,UtahPJ,Unknown,Forb
S-UNFO2,Seeded unknown forb 2,Native,Utah,CRC,Unknown,Forb
S-UNFO2,Seeded unknown forb 2,Native,Utah,Salt_Desert,Unknown,Forb
S-UNGR1,Seeded unknown grass 1,Native,Utah,CRC,Unknown,Grass
S-UNGR1,Seeded unknown grass 1,Native,Utah,Salt_Desert,Unknown,Grass
S-UNGR2,Seeded unknown grass 2,Native,Utah,CRC,Unknown,Grass
S-UNGR2,Seeded unknown grass 2,Native,Utah,Salt_Desert,Unknown,Grass
S-UNGR2,Seeded unknown grass 2,Native,Utah,UtahPJ,Unknown,Grass
S-UNGR3,Seeded unknown grass 3,Native,Utah,CRC,Unknown,Grass
S-UNGR3,Seeded unknown grass 3,Native,Utah,Salt_Desert,Unknown,Grass
S-UNGR3,Seeded unknown grass 3,Native,Utah,UtahPJ,Unknown,Grass
S-UNGR4,Seeded unknown grass 4,Native,Utah,CRC,Unknown,Grass
S-UNGR4,Seeded unknown grass 4,Native,Utah,UtahPJ,Unknown,Grass
S-UNGR5,Seeded unknown grass 5,Native,Utah,UtahPJ,Unknown,Grass
SUNGR,Seeded unknown grass (?),Native,Colorado Plateau,TLE,Unknown,Shrub
SUNGR,Seeded unknown grass (?),Native,Colorado Plateau,BabbittPJ,Unknown,Shrub
UCHEN1,Unknown UCHEN1 (?),Unknown,Colorado Plateau,PEFO,Unknown,Unknown
UCHEN2,Unknown UCHEN2 (?),Unknown,Colorado Plateau,PEFO,Unknown,Unknown
UNFO,Unknown forb,Unknown,Colorado Plateau,FlyingM,Unknown,Forb
UNFO,Unknown forb,Unknown,Colorado Plateau,Spiderweb,Unknown,Forb
UNFO10,Unknown forb 10,Unknown,Utah,UtahPJ,Unknown,Forb
UNFO11,Unknown forb 11,Unknown,Utah,UtahPJ,Unknown,Forb
UNFO12,Unknown forb 12,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO13,Unknown forb 13,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO14,Unknown forb 14,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO16,Unknown forb 16,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO2A,Unknown forb 2A,Unknown,Mojave,AVRCD,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Colorado Plateau,AguaFria,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Colorado Plateau,FlyingM,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Colorado Plateau,Spiderweb,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Utah,UtahPJ,Unknown,Forb
UNFO8,Unknown forb 8,Unknown,Colorado Plateau,AguaFria,Unknown,Forb
UNFO8,Unknown forb 8,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO8,Unknown forb 8,Unknown,Colorado Plateau,Spiderweb,Unknown,Forb
UNFO8,Unknown forb 8,Unknown,Utah,UtahPJ,Unknown,Forb
UNFO9,Unknown forb 9,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO9,Unknown forb 9,Unknown,Utah,UtahPJ,Unknown,Forb
UNGR,Unknown grass,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,BabbittPJ,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,BarTBar,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,FlyingM,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,MOWE,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,PEFO,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,Spiderweb,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,TLE,Unknown,Grass
UNGR,Unknown grass,Unknown,Utah,UtahPJ,Unknown,Grass
UNGR2,Unknown grass 2,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGR2,Unknown grass 2,Unknown,Colorado Plateau,MOWE,Unknown,Grass
UNGR2,Unknown grass 2,Unknown,Colorado Plateau,PEFO,Unknown,Grass
UNGR2,Unknown grass 2,Unknown,Utah,UtahPJ,Unknown,Grass
UNGR3,Unknown grass 3,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGR3,Unknown grass 3,Unknown,Colorado Plateau,MOWE,Unknown,Grass
UNGR3,Unknown grass 3,Unknown,Colorado Plateau,PEFO,Unknown,Grass
UNGR3,Unknown grass 3,Unknown,Utah,UtahPJ,Unknown,Grass
UNGR4,Unknown grass 4,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGR4,Unknown grass 4,Unknown,Colorado Plateau,MOWE,Unknown,Grass
UNGR4,Unknown grass 4,Unknown,Utah,Salt_Desert,Unknown,Grass
UNGR4,Unknown grass 4,Unknown,Utah,UtahPJ,Unknown,Grass
UNGR5,Unknown grass 5,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNK Fuzzy astr,Unknown fuzzy aster,Unknown,Chihuahuan,Mesquite,Unknown,Forb
Unkaster,Unknown aster,Unknown,Chihuahuan,Mesquite,Unknown,Forb
UnkForb,Unknown forb,Unknown,Chihuahuan,Mesquite,Unknown,Forb
UnkForb1,Unknown forb 1,Unknown,Chihuahuan,Creosote,Unknown,Forb
